PassengerId,Survived
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,1
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,0
173,1
174,1
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,1
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,0
248,1
249,0
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,1
410,0
411,1
412,1
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,0
421,1
422,1
423,1
424,0
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,0
452,1
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,1
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,1
479,1
480,1
481,0
482,1
483,1
484,1
485,0
486,0
487,1
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,1
506,1
507,1
508,0
509,1
510,0
511,0
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,1
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,1
600,0
